[11/18/17 04:55PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:04PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:17PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:17PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:21PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:24PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:27PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:30PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:31PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:31PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:31PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:32PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:47PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 05:47PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 06:19PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 07:05PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 10:41PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 11:39PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 11:39PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/18/17 11:49PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 10:44AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 10:47AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 10:48AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 10:48AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 10:49AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:05AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:06AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:18AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:18AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:19AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:19AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:20AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:27AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:27AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:28AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:29AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:33AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:34AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:34AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:42AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:42AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:42AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:43AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:43AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:46AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 11:49AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 05:40PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/19/17 05:41PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 10:17AM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 10:30AM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:08PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:27PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:30PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:31PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:31PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:42PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:42PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:43PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:43PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:44PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:44PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:45PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:45PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:46PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:47PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:47PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:49PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:50PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:54PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:54PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:55PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 05:56PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:02PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:05PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:07PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:08PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:08PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:09PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:09PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:41PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:42PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:43PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:45PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:46PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:49PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:51PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:54PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 06:57PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 07:00PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 07:24PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 07:25PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 07:46PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:14PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:18PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:22PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:22PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:25PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:33PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:33PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:34PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:37PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:40PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:40PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:42PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:42PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:43PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:44PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:46PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:46PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 08:47PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 10:39PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/20/17 11:03PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:20PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:26PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:27PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:27PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:28PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:33PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:33PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:39PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:39PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:44PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:45PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:45PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:45PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:51PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:54PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 04:56PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 05:00PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 05:01PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 05:02PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 05:02PM] [LOGIN], Ip: 127.0.0.1, Serial Address: invalid_serial, 
[11/21/17 05:14PM] [LOGOUT], Ip: 127.0.0.1, Serial Address: invalid_serial, 
